ID,name,name_short,type,birth year,sex,hair,skin,place of birth,nationality,ethnicity,follower_insta,follower_tiktok,market_cap,season_gntm,place_gntm
jh,Jennifer Karin-Luise Hof,Jennifer Hof,model,1991,weiblich,blonde,light,Rodgau,german,german,"1,811",,,3,1
IMGModels,IMG Models,IMG Models,modeling,,,,,,,,,,,,
JennyK.L.,Jenny K.L.,Jenny K.L.,cooperation,,,,,,,,,,,,
cunda,C&A,C&A,cooperation,,,,,,,,,,,,
philippplein,Philipp Plein,Philipp Plein,cooperation,,,,,,,,,,,,
marcelostertag,Marcel Ostertag,Marcel Ostertag,cooperation,,,,,,,,,,,,
perretschaad,Perret Schaad,Perret Schaad,cooperation,,,,,,,,,,,,
Steuerfachangestellte,Ausbildung zur Steuerfachangestellten,Ausbildung zur Steuerfachangestellten,taxes,,,,,,,,,,,,
jds,Janina Delia Schmidt,Janina Schmidt,model,1984,weiblich,brown,light,Hamburg,german,german,938,,,3,2
volkswagen,Volkswagen,Volkswagen,cooperation,,,,,,,,,,,,
ElleMacPherson ,Elle MacPherson Lingerie,Elle MacPherson ,cooperation,,,,,,,,,,,,
nintendoDS,Nintendo DS,Nintendo ,cooperation,,,,,,,,,,,,
severinhaircare,Severin Hair Care,Severin Hair Care,cooperation,,,,,,,,,,,,
rockundrepublic,Rock & Republic,Rock & Republic,cooperation,,,,,,,,,,,,
otto,Otto,Otto,cooperation,,,,,,,,,,,,
GNTM-Videospiel,Germany's Next Topmodel - das offizielle Spiel zur neuen Staffel 2009,GNTM-Videospiel,cooperation,,,,,,,,,,,,
Dicke_Liebe,Dicke Liebe,Dicke Liebe,movie,,,,,,,,,,,,
modelbooking,Modelbooking,Modelbooking,cooperation,,,,,,,,,,,,
celiaczerlisnki,Celiaczerlisnki,Celiaczerlisnki,cooperation,,,,,,,,,,,,
cl,Christina Leibold,Christina Leibold,model,1992,weiblich,brown,light,Volkach-Fahr,german,german,,,,3,3
medienmanagement,Medienmanagement-Studium,Medienmanagement,media,,,,,,,,,,,,
le,Lovelyn Chinwe Enebechi,Lovelyn Enebechi,model,1996,weiblich,black,medium,Hamburg,german,german-nigerian,74.9K,49,,8,1
OneEins,ONEeins Management,ONEeins,modeling,,,,,,,,,,,,
pma ,PMA Models,PMA Models,modeling,,,,,,,,,,,,
abitur,Abitur,Abitur,education,,,,,,,,,,,,
annettegoertz, Annette Goertz, Annette Goertz,cooperation,,,,,,,,,,,,
breuninger,Breuninger,Breuninger,cooperation,,,,,,,,,,,,
ausbildung,Ausbildung,Ausbildung,education,,,,,,,,,,,,
mvg,Maike van Grieken,Maike van Grieken,model,,weiblich,red,light,Emden,german,german,,,,8,2
thomasrath,Thomas Rath,Thomas Rath,cooperation,,,,,,,,,,,,
HUFMagazine,HUF Magazine,HUF Magazine,cooperation,,,,,,,,,,,,
campdavid,Camp David,Camp David,cooperation,,,,,,,,,,,,
tinamyake,Tina Myake,Tina Myake,cooperation,,,,,,,,,,,,
danielfranziskus,Daniel Franziskus,Daniel Franziskus,soccer player,,,,,,,,,,,,
lw,Luise Will,Luise Will,model,1994,weiblich,brown,light,Rostock,german,german,privat?,,,8,3
Gillette,Gillette,Gillette,cooperation,,,,,,,,,,,,
Fashionweek_Berlin ,Berliner Fashion Week,Berliner Fashion Week,fashion week,,,,,,,,,,,,
krankenschwester,Krankenschwester,Krankenschwester,health,,,,,,,,,,,,
tda,Oluwatoniloba Dreher-Adenuga,Toni Dreher-Adenuga,model,1999,weiblich,black,dark,Stuttgart,german,nigerian,152K,"313,9K",,13,1
poetryslam,Poetry Slam,Poetry Slam,event,,,,,,,,,,,,
jugendgottesdienst,Jugend-Gottesdienst,Jugend-Gottesdienst,event,,,,,,,,,,,,
LikeILoveYou,Like I Love You,Like I Love You,music video,,,,,,,,,,,,
AnWunder,An Wunder,An Wunder,music video,,,,,,,,,,,,
danielwellington,Daniel Wellington,Daniel Wellington,cooperation,,,,,,,,,,,,
LambertzMondayNight,Lambertz Monday Night,Lambertz Monday Night,cooperation,,,,,,,,,,,,
